[2016-05-22 17:31:03 959 INFO ] Execution Delivered <Id:2, Plan:Stap_Demo_Plan, Test Case:Blog_Search_Function> 
[2016-05-22 17:35:50 175 INFO ] Execution Delivered <Id:2, Plan:Stap_Demo_Plan, Test Case:Blog_Search_Function> 
[2016-05-22 17:38:45 100 INFO ] Execution Delivered <Id:2, Plan:Stap_Demo_Plan, Test Case:Blog_Search_Function> 
[2016-05-22 17:52:20 453 INFO ] Execution Delivered <Id:2, Plan:Stap_Demo_Plan, Test Case:Blog_Search_Function> 
[2016-05-22 17:53:39 370 INFO ] Execution Delivered <Id:2, Plan:Stap_Demo_Plan, Test Case:Blog_Search_Function> 
[2016-05-22 18:22:10 321 INFO ] Execution Delivered <Id:2, Plan:Stap_Demo_Plan, Test Case:Blog_Search_Function> 
[2016-05-22 18:24:01 968 INFO ] Execution Delivered <Id:2, Plan:Stap_Demo_Plan, Test Case:Blog_Search_Function> 
[2016-05-22 18:32:17 716 INFO ] Execution Delivered <Id:2, Plan:Stap_Demo_Plan, Test Case:Blog_Search_Function> 
[2016-05-22 18:33:05 824 INFO ] Execution Delivered <Id:2, Plan:Stap_Demo_Plan, Test Case:Blog_Search_Function> 
